Time,T1,T2,Q1,Q2
0,23.154,23.799,0.0,0.0
1.01,23.154,23.799,0.0,0.0
2.01,23.154,23.799,0.0,0.0
3.01,23.154,23.799,0.0,0.0
4.0,23.154,23.799,0.0,0.0
5.0,23.154,23.799,0.0,0.0
6.0,23.154,23.799,0.0,0.0
7.0,23.154,23.799,0.0,0.0
8.0,23.154,23.799,0.0,0.0
9.0,23.154,23.799,0.0,0.0
10.0,23.154,23.799,0.0,0.0
11.0,23.154,23.799,0.0,0.0
12.0,23.154,23.799,0.0,0.0
13.0,23.154,23.799,0.0,0.0
14.0,23.154,23.799,0.0,0.0
15.0,23.154,23.799,0.0,0.0
16.0,23.154,23.799,0.0,0.0
17.0,23.154,23.799,0.0,0.0
18.0,23.154,23.799,0.0,0.0
19.0,23.154,23.799,0.0,0.0
20.0,23.154,23.767,60.0,0.0
21.0,23.154,23.799,60.0,0.0
22.0,23.154,23.799,60.0,0.0
23.0,23.154,23.799,60.0,0.0
24.01,23.154,23.767,60.0,0.0
25.0,23.154,23.799,60.0,0.0
26.0,23.154,23.702,60.0,0.0
27.01,23.154,23.767,60.0,0.0
28.0,23.154,23.734,60.0,0.0
29.01,23.154,23.767,60.0,0.0
30.01,23.187,23.67,60.0,0.0
31.0,23.251,23.767,60.0,0.0
32.01,23.444,23.734,60.0,0.0
33.0,23.477,23.573,60.0,0.0
34.01,23.477,23.702,60.0,0.0
35.01,23.477,23.541,60.0,0.0
36.01,23.509,23.702,60.0,0.0
37.0,23.67,23.605,60.0,0.0
38.01,23.767,23.605,60.0,0.0
39.0,23.799,23.734,60.0,0.0
40.0,23.831,23.638,60.0,0.0
41.0,23.863,23.638,60.0,0.0
42.0,24.121,23.702,60.0,0.0
43.0,24.121,23.605,60.0,0.0
44.0,24.314,23.702,60.0,0.0
45.01,24.411,23.67,60.0,0.0
46.01,24.443,23.541,60.0,0.0
47.0,24.443,23.638,60.0,0.0
48.01,24.766,23.67,60.0,0.0
49.0,24.766,23.573,60.0,0.0
50.0,24.798,23.638,60.0,0.0
51.01,25.088,23.702,60.0,0.0
52.0,25.088,23.67,60.0,0.0
53.01,25.12,23.67,60.0,0.0
54.01,25.378,23.638,60.0,0.0
55.0,25.41,23.638,60.0,0.0
56.0,25.442,23.767,60.0,0.0
57.0,25.732,23.702,60.0,0.0
58.0,25.732,23.734,60.0,0.0
59.01,25.861,23.767,60.0,0.0
60.01,26.055,23.702,60.0,0.0
61.01,26.055,23.734,60.0,0.0
62.0,26.248,23.734,60.0,0.0
63.0,26.377,23.799,60.0,0.0
64.0,26.409,23.799,60.0,0.0
65.0,26.635,23.799,60.0,0.0
66.0,26.699,23.799,60.0,0.0
67.0,26.893,23.799,60.0,0.0
68.0,27.021,23.799,60.0,0.0
69.0,27.021,23.799,60.0,0.0
70.01,27.344,23.799,60.0,0.0
71.01,27.344,23.799,60.0,0.0
72.01,27.408,23.799,60.0,0.0
73.0,27.666,23.799,60.0,0.0
74.01,27.666,23.799,60.0,0.0
75.01,27.956,23.799,60.0,0.0
76.0,27.988,23.799,60.0,0.0
77.0,28.214,23.799,60.0,0.0
78.01,28.311,23.831,60.0,0.0
79.0,28.343,23.831,60.0,0.0
80.0,28.633,23.799,60.0,0.0
81.01,28.633,23.831,60.0,0.0
82.01,28.794,23.863,60.0,0.0
83.0,28.955,23.896,60.0,0.0
84.01,28.987,23.896,60.0,0.0
85.01,29.245,24.089,60.0,0.0
86.01,29.277,23.315,60.0,0.0
87.0,29.438,24.121,60.0,0.0
88.0,29.6,24.089,60.0,0.0
89.0,29.632,24.121,60.0,0.0
90.0,29.857,24.121,60.0,0.0
91.0,29.696,24.121,60.0,0.0
92.0,29.954,24.121,60.0,0.0
93.0,30.244,24.121,60.0,0.0
94.0,30.244,24.121,60.0,0.0
95.01,30.276,24.121,60.0,0.0
96.01,30.47,24.121,60.0,0.0
97.0,30.566,24.186,60.0,0.0
98.01,30.792,24.186,60.0,0.0
99.01,30.889,24.282,60.0,0.0
100.0,30.889,24.218,60.0,0.0
101.01,31.082,24.379,60.0,0.0
102.0,31.211,24.443,60.0,0.0
103.01,31.308,24.443,60.0,0.0
104.01,31.533,24.443,60.0,0.0
105.01,31.533,24.443,60.0,0.0
106.01,31.598,24.443,60.0,0.0
107.0,31.855,24.443,60.0,0.0
108.01,31.855,24.443,60.0,0.0
109.01,31.984,24.443,60.0,0.0
110.01,32.178,24.443,60.0,0.0
111.0,32.178,24.443,60.0,0.0
112.0,32.468,24.476,60.0,0.0
113.0,32.5,24.637,60.0,0.0
114.0,32.532,24.733,60.0,0.0
115.0,32.629,24.766,60.0,0.0
116.0,32.822,24.733,60.0,0.0
117.0,32.887,24.766,60.0,0.0
118.0,33.08,24.766,60.0,0.0
119.01,33.145,24.766,60.0,0.0
120.01,33.241,24.766,60.0,0.0
121.0,33.467,24.766,60.0,0.0
122.0,33.467,24.766,60.0,0.0
123.01,33.467,24.798,60.0,0.0
124.01,33.757,24.862,60.0,0.0
125.01,33.789,24.798,60.0,0.0
126.01,33.854,25.023,60.0,0.0
127.0,34.079,24.927,60.0,0.0
128.0,34.111,25.023,60.0,0.0
129.01,34.111,25.088,60.0,0.0
130.0,34.434,25.088,60.0,0.0
131.01,34.434,25.088,60.0,0.0
132.0,34.466,25.088,60.0,0.0
133.01,34.756,25.088,60.0,0.0
134.01,34.756,25.12,60.0,0.0
135.01,34.788,25.152,60.0,0.0
136.0,35.046,25.249,60.0,0.0
137.0,35.078,25.217,60.0,0.0
138.0,35.078,25.346,60.0,0.0
139.0,35.304,25.41,60.0,0.0
140.0,35.4,25.41,60.0,0.0
141.0,35.4,25.41,60.0,0.0
142.0,35.497,25.41,60.0,0.0
143.01,35.658,25.378,60.0,0.0
144.01,35.723,25.41,60.0,0.0
145.01,35.755,25.41,60.0,0.0
146.01,35.916,25.475,60.0,0.0
147.01,36.045,25.442,60.0,0.0
148.01,36.045,25.507,60.0,0.0
149.0,36.109,25.636,60.0,0.0
150.01,36.367,25.668,60.0,0.0
151.01,36.367,25.732,60.0,0.0
152.0,36.399,25.732,60.0,0.0
153.0,36.657,25.732,60.0,0.0
154.0,36.689,25.732,60.0,0.0
155.01,36.722,25.732,60.0,0.0
156.01,36.883,25.732,60.0,0.0
157.01,37.012,25.732,60.0,0.0
158.0,37.012,25.797,60.0,0.0
159.0,37.044,25.894,60.0,0.0
160.0,37.302,25.926,60.0,0.0
161.0,37.334,25.958,60.0,0.0
162.0,37.334,26.055,60.0,0.0
163.0,37.398,26.055,60.0,0.0
164.0,37.592,26.055,60.0,0.0
165.0,37.656,26.055,60.0,0.0
166.01,37.656,26.055,60.0,0.0
167.0,37.656,26.055,60.0,0.0
168.01,37.882,26.055,60.0,0.0
169.0,37.979,26.055,60.0,0.0
170.0,37.979,26.216,60.0,0.0
171.0,38.011,26.248,60.0,0.0
172.01,38.107,26.248,60.0,0.0
173.0,38.301,26.345,60.0,0.0
174.0,38.301,26.377,60.0,0.0
175.0,38.365,26.377,60.0,0.0
176.0,38.623,26.377,60.0,0.0
177.0,38.623,26.377,60.0,0.0
178.0,38.623,26.377,60.0,0.0
179.0,38.623,26.409,60.0,0.0
180.0,38.913,26.377,60.0,0.0
181.0,38.945,26.506,60.0,0.0
182.01,38.945,26.538,60.0,0.0
183.0,38.978,26.635,60.0,0.0
184.01,39.203,26.699,60.0,0.0
